"exp","VELTENLAR_74","VELTENLAR_86","TotalReads"
"9KDNA1",2217602,45426377,47643979
"9KRNA1",1975740,157219940,159195680
"9KDNA2",6186108,109766841,115952949
"9KRNA2",4497686,164391094,168888780
