"exp","VELTENLAR_74","VELTENLAR_86","TotalReads"
"9KDNA1",14166265,62826671,76992936
"9KRNA1",12288494,110815895,123104389
"9KDNA2",12632651,53686149,66318800
"9KRNA2",12519554,162599268,175118822
