"exp","VELTENLAR_74","VELTENLAR_86","TotalReads"
"9KDNA1",36245995,47463234,83709229
"9KRNA1",22642638,114850652,137493290
"9KDNA2",26859874,130972821,157832695
"9KRNA2",19288111,73589783,92877894
