"exp","VELTENLAR_74","VELTENLAR_86","TotalReads"
"9KDNA1",5231461,32016629,37248090
"9KRNA1",4702783,461285440,465988223
"9KDNA2",7110676,99302627,106413303
"9KRNA2",6108846,360442169,366551015
