"exp","VELTENLAR_74","VELTENLAR_86","TotalReads"
"9KDNA1",39760313,236160766,275921079
"9KRNA1",24705652,122489425,147195077
"9KDNA2",37923081,528053565,565976646
"9KRNA2",25971412,805980358,831951770
